name,x,y
Brussegem,-6.0205873034,-9.0324514194
Brustem,61.6424484643,5.2681215542
Bruxelles,0,0
Bruyelle,-64.8789266343,32.0320944767
Brye,14.7100784183,35.0498143542
Brûly,12.4876910385,96.5485537967
Brûly-De-Pesche,7.6186686373,93.1299035913
Budingen,51.5988334586,-2.0882070845
Buggenhout,-11.1481895229,-18.3396630919
Buissenal,-48.8723148178,20.1508445725
Buissonville,59.229635344,69.4666847184
Buizingen,-6.3979746303,12.0562940789
Buken,18.6434519811,-10.1206358384
Bullange,133.7374280721,48.554954558
Bulskamp,-119.8536955813,-22.0381194914
Bunsbeek,42.6873801158,-0.4976016679
Burcht,-0.7058833953,-39.7387488305
Burdinne,50.5683138985,29.3966321548
Bure,63.809661472,83.5585956791
Burg-Reuland,124.1850704306,74.1178173106
Burst,-30.2626948355,-7.4610565859
Bury,-53.1206582603,33.6624111529
Butgenbach,130.0560617804,46.4438480004
Buvingen,58.0376699035,10.6936187706
Buvrinnes,-10.2544563756,50.5141037941
Buzenol,87.1774833619,131.5234019064
Buzet,1.3760627448,34.0714340119
Callenelle,-57.9783284894,35.0868833121
Calonne,-64.165093912,29.7209989161
Cambron-Casteau,-33.0425527237,28.5900748495
Cambron-Saint-Vincent,-30.5535714438,29.2286345542
Carlsbourg,51.3132142463,104.7048684665
Carnières,-6.8396766921,44.6469295896
Casteau,-24.455939516,36.9314108974
Castillon,0.0793459299,66.1692823649
Celles,-62.7618377424,14.8704177283
Celles,45.8953936054,67.9266201324
Celles,62.7132156454,21.3659291654
Cerfontaine,4.2725843292,74.7755726979
Chaineux,104.02000234,23.7942290169
Chairière,41.9046420341,108.3559144384
Champion,38.7162541292,38.5193010187
Champlon,80.8058346959,81.4559454342
Chanly,56.431247736,84.638123671
Chantemelle,91.4513867321,130.9150620337
Chapelle-Lez-Herlaimont,-5.0009054541,41.529539867
Chapelle-à-Oie,-47.7627908399,27.6801581905
Chapelle-à-Wattines,-48.8719850576,25.9437242633
Chapon-Seraing,64.6716126775,26.2562995011
Charleroi,6.8385260339,47.6568922989
Charneux,101.9536895109,19.6799790995
Chassepierre,63.8812054147,125.0401383209
Chastre,19.9947674028,26.4320325915
Chastre-Villeroux-Blanmont,20.0730757015,26.1505361647
Chastrès,7.5426624069,64.2347886353
Chaudfontaine,90.8785440586,29.0064084013
Chaumont-Gistoux,24.256406498,18.0342881563
Chaussée-Notre-Dame-Louvignies,-24.8173497377,28.1921205559
Cherain,106.1522040742,73.4721681807
Cheratte,92.5059600227,18.1640464927
Chercq,-65.2815007582,28.5909699886
Chevetogne,53.8236439751,68.7448516672
Chevron,96.699121244,51.3721136787
Chimay,-2.4109824557,87.9964373238
Chiny,69.3007450186,121.68763568
Chièvres,-37.9974320658,28.6858538554
Chokier,77.2621187533,28.0276981616
Chênee,88.9345161541,26.0982617919
Châtelet,12.1137148464,48.8792426651
Châtelineau,11.6633956475,47.6697142758
Châtillon,94.4844724302,133.9406041552
Ciergnon,51.7943835694,75.008882005
Ciney,52.3215930367,60.9359289234
Ciplet,52.1759091665,25.4307554522
Ciply,-28.6163211649,47.2611572311
Clabecq,-9.1409472099,17.4370679072
Clavier,70.5737599205,48.1195150437
Clermont,-2.410554469,64.7862180194
Clermont,107.4857755878,20.8033904701
Clermont-Sous-Huy,73.0035176621,30.7461067134
Cognelée,39.3630172528,36.4715071255
Colfontaine,-35.1020107492,48.7629953255
Comblain-Au-Pont,85.9322754505,41.1344095229
Comblain-Fairon,83.5744807355,44.3815983855
Comblain-La-Tour,85.4749452056,43.2951012697
Comines,-94.931030959,8.6403816926
Comines-Warneton,-94.7035818617,8.3670145848
Conneux,49.7228436895,65.9131950666
Corbais,20.285981236,21.8878083771
Corbion,45.9444928023,115.2732190256
Cordes,-57.3534187767,17.5668300844
Corenne,22.9837424049,65.6570074422
Cornesse,100.9877094697,30.1111580414
Cornimont,45.3441677689,108.2051601051
Corroy-Le-Chteau,21.2590752307,34.3985066361
Corroy-Le-Grand,22.6639521369,20.499795702
Corswarem,60.4413429034,15.199902292
Cortil-Noirmont,20.2755477343,28.3416733359
Cortil-Wodon,42.5651728704,30.9364348202
Couillet,8.2042947827,50.3528604478
Cour-Sur-Heure,2.4696447,60.6597821678
Courcelles,1.7290382516,42.7606177136
Courrière,44.4016077219,51.7742978254
Court-Saint-Etienne,15.2166535888,22.4242067876
Couthuin,54.7383638373,34.7079253513
Coutisse,53.6922169737,42.3746565142
Couture-Saint-Germain,9.1822199476,20.3780761154
Couvin,10.0895341518,87.4977451591
Cras-Avernas,54.1045365655,16.492897056
Crehen,49.8463774933,20.6232390534
Crisnée,73.3626055296,14.5001561565
Croix-Lez-Rouveroy,-19.3524996716,53.6839249674
Crombach,120.4226702532,64.8689114974
Crupet,42.5473447681,55.2320183405
Cuesmes,-30.2419480042,45.403528078
Cugnon,59.7505372695,114.7935240925
Cul-Des-Sarts,7.2477865786,97.4266448355
Custinne,48.8831337606,70.0644761696
Cérexhe-Heuseux,96.4402664612,21.6980230785
Céroux-Mousty,12.4521166438,20.4045409875
Dadizele,-87.4236826645,-0.0417205618
Dailly,5.918530013,86.9225622051
Daknam,-26.0189409569,-31.3674782616
